Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
Rapid patient-specific neural networks for intraoperative X-ray to volume registration.	
Precise perivascular space segmentation on magnetic resonance imaging from Human Connectome Project-Aging.	10.1101/2025.03.19.25324269
Structural covariance of early visual cortex is negatively associated with PTSD symptoms: A Mega-Analysis from the ENIGMA PTSD workgroup.	10.1101/2025.03.18.25324188
Dissecting heterogeneity in cortical thickness abnormalities in major depressive disorder: a large-scale ENIGMA MDD normative modelling study.	10.1101/2025.03.17.643677
An Early Thyroid Screening Model Based on Transformer and Secondary Transfer Learning for Chest and Thyroid CT Images.	10.1177/15330338251323168
A novel network-level fused deep learning architecture with shallow neural network classifier for gastrointestinal cancer classification from wireless capsule endoscopy images.	10.1186/s12911-025-02966-0
China's social fake news database release with brain structural, functional, and behavioural measures.	10.1038/s41597-025-04901-4
Development of a multi-institutional dataset to validate a novel inflammatory breast cancer diagnostic score.	10.1093/jnci/djaf088
Probing particle dynamics in a fully opaque porous network using X-ray differential dynamic radiography (XDDR).	10.1039/d4sm01423e
Automatic Human Embryo Volume Measurement in First Trimester Ultrasound From the Rotterdam Periconception Cohort: Quantitative and Qualitative Evaluation of Artificial Intelligence.	10.2196/60887
Triad: Vision Foundation Model for 3D Magnetic Resonance Imaging.	10.21203/rs.3.rs-6129856/v1
Towards an informed choice of diffusion MRI image contrasts for cerebellar segmentation.	10.1101/2025.03.10.642452
Causal Association Between Circulating Inflammatory Proteins and Autoimmune Liver Disease: a Bidirectional Two-Sample Mendelian Randomization Study.	10.2147/ITT.S508140
Advanced deep learning for multi-class colorectal cancer histopathology: integrating transfer learning and ensemble methods.	10.21037/qims-24-1641
Multitask Swin Transformer for classification and characterization of pulmonary nodules in CT images.	10.21037/qims-24-1619
Automatic computed tomography image segmentation method for liver tumor based on a modified tokenized multilayer perceptron and attention mechanism.	10.21037/qims-24-2132
A coordinate registration-based structured magnetic resonance imaging reporting method for nasopharyngeal carcinoma: a preliminary study.	10.21037/qims-24-1127
Kidney stone detection via axial CT imaging: A dataset for AI and deep learning applications.	10.1016/j.dib.2025.111446
Predicting Surgical Outcomes in Patients With Recurrent Patellar Dislocations.	10.1177/23259671251324527
Hybrid method for estimating lung ventilation from CT by combining intensity and motion information.	10.1002/mp.17787
Association of the characteristics of brain magnetic resonance imaging with genes related to disease onset in schizophrenia patients.	10.1016/j.slast.2025.100281
Predicting hepatocellular carcinoma response to TACE: A machine learning study based on 2.5D CT imaging and deep features analysis.	10.1016/j.ejrad.2025.112060
Advanced convolutional neural network with attention mechanism for Alzheimer's disease classification using MRI.	10.1016/j.compbiomed.2025.110095
Focal cortical dysplasia detection by artificial intelligence using MRI: A systematic review and meta-analysis.	10.1016/j.yebeh.2025.110403
A novel deep learning-based model for automated tooth detection and numbering in mixed and permanent dentition in occlusal photographs.	10.1186/s12903-025-05803-y
An Integrated Mycobacterial CT Imaging Dataset with Multispecies Information.	10.1038/s41597-025-04838-8
A group based network analysis for Alzheimer's disease fMRI data.	10.1038/s41598-025-95190-9
Multimodal precision MRI of the individual human brain at ultra-high fields.	10.1038/s41597-025-04863-7
Multimodal Deep Learning for Grading Carpal Tunnel Syndrome: A Multicenter Study in China.	10.1016/j.acra.2025.02.043
Exploring the Incremental Value of Aorta Enhancement Normalization Method in Evaluating Renal Cell Carcinoma Histological Subtypes: A Multi-center Large Cohort Study.	10.1016/j.acra.2025.03.007
An extragradient and noise-tuning adaptive iterative network for diffusion MRI-based microstructural estimation.	10.1016/j.media.2025.103535
Advancing carbon ion therapy with dual-energy CT: Enhanced elemental decomposition for precise range and secondary dose estimation.	10.1016/j.ejmp.2025.104960
One class classification-empowered radiomics for noninvasively accurate prediction of glioma isocitrate dehydrogenase mutation using multiparametric magnetic resonance imaging.	10.1016/j.crad.2025.106866
A segment anything model-guided and match-based semi-supervised segmentation framework for medical imaging.	10.1002/mp.17785
Proton dose calculation with transformer: Transforming spot map to dose.	10.1002/mp.17794
Automated orofacial virtual patient creation using two cohorts of MSCT vs. CBCT scans.	10.1186/s13005-025-00500-1
Predicting postoperative recurrence and survival in glioma patients using enhanced MRI-based delta habitat radiomics: an 8-year retrospective pilot study.	10.1186/s12957-025-03760-y
A deep learning model for classification of chondroid tumors on CT images.	10.1186/s12885-025-13951-1
3D segmentation combining spatial and multi-scale features for intracranial aneurysm.	10.1002/mp.17783
Diffusion MRI GAN synthesizing fibre orientation distribution data using generative adversarial networks.	10.1038/s42003-025-07936-w
Using deep learning to enhance reporting efficiency and accuracy in degenerative cervical spine MRI.	10.1016/j.spinee.2025.03.009
3D brain tumor segmentation based on a novel nettree merging.	10.1016/j.compbiomed.2025.110056
SpineMamba: Enhancing 3D spinal segmentation in clinical imaging through residual visual Mamba layers and shape priors.	10.1016/j.compmedimag.2025.102531
A first explainable-AI-based workflow integrating forward-forward and backpropagation-trained networks of label-free multiphoton microscopy images to assess human biopsies of rare neuromuscular disease.	10.1016/j.cmpb.2025.108733
Exploring the neuromagnetic signatures of cognitive decline from mild cognitive impairment to Alzheimer's disease dementia.	10.1016/j.ebiom.2025.105659
Dermacen analytica: A novel methodology integrating multi-modal large language models with machine learning in dermatology.	10.1016/j.ijmedinf.2025.105898
Automated Radiology Report Labeling in Chest X-Ray Pathologies: Development and Evaluation of a Large Language Model Framework.	10.2196/68618
An MRI Radiogenomic Signature to Characterize the Transcriptional Heterogeneity Associated with Prognosis and Biological Functions in Glioblastoma.	10.31083/FBL36348
LungNet-ViT: Efficient lung disease classification using a multistage vision transformer model from chest radiographs.	10.1177/08953996251320262
Utilization of Image-Based Deep Learning in Multimodal Glaucoma Detection Neural Network from a Primary Patient Cohort.	10.1016/j.xops.2025.100703
Improved A-Line and B-Line Detection in Lung Ultrasound Using Deep Learning with Boundary-Aware Dice Loss.	10.3390/bioengineering12030311
Deep Multi-Modal Skin-Imaging-Based Information-Switching Network for Skin Lesion Recognition.	10.3390/bioengineering12030282
PixMed-Enhancer: An Efficient Approach for Medical Image Augmentation.	10.3390/bioengineering12030235
Multi-Model Segmentation Algorithm for Rotator Cuff Injury Based on MRI Images.	10.3390/bioengineering12030218
Advancing Diabetic Foot Ulcer Care: AI and Generative AI Approaches for Classification, Prediction, Segmentation, and Detection.	10.3390/healthcare13060648
A Novel Diagnostic Framework with an Optimized Ensemble of Vision Transformers and Convolutional Neural Networks for Enhanced Alzheimer's Disease Detection in Medical Imaging.	10.3390/diagnostics15060789
External Validation of a Predictive Model for Thyroid Cancer Risk with Decision Curve Analysis.	10.3390/diagnostics15060686
Deep Learning Models Based on Pretreatment MRI and Clinicopathological Data to Predict Responses to Neoadjuvant Systemic Therapy in Triple-Negative Breast Cancer.	10.3390/cancers17060966
A comparative study of neuro-fuzzy and neural network models in predicting length of stay in university hospital.	10.1186/s12913-025-12623-x
Disruptions of resting-state functional connectivity in post-stroke motor dysfunctions: a meta-analysis.	10.1007/s11682-025-00977-z
CTA image segmentation method for intracranial aneurysms based on MGLIA net.	10.1038/s41598-025-95143-2
A semisupervised knowledge distillation model for lung nodule segmentation.	10.1038/s41598-025-94132-9
A labeled Clinical-MRI dataset of Nigerian brains.	10.1038/s41597-025-04743-0
Ensemble network using oblique coronal MRI for Alzheimer's disease diagnosis.	10.1016/j.neuroimage.2025.121151
Class balancing diversity multimodal ensemble for Alzheimer's disease diagnosis and early detection.	10.1016/j.compmedimag.2025.102529
TCDE-Net: An unsupervised dual-encoder network for 3D brain medical image registration.	10.1016/j.compmedimag.2025.102527
Breast cancer detection and classification: A study on the specification and implementation of multilayer perceptron analog artificial neural networks.	10.1016/j.compbiomed.2025.110060
Automatic sequence identification in multicentric prostate multiparametric MRI datasets for clinical machine-learning.	10.1186/s13244-025-01938-2
Heterogeneous brain abnormalities in subjective cognitive decline converge on a common network and their transcriptional signature.	10.1002/alz.70073
Comparison of Anatomical and Indication-Based Diagnostic Reference Levels (DRLs) in Head CT Imaging: Implications for Radiation Dose Management.	10.1155/ijbi/6464273
Variable cerebral blood flow responsiveness to acute hypoxic hypoxia.	10.3389/fphys.2025.1562582
A multi-modal deep learning solution for precise pneumonia diagnosis: the PneumoFusion-Net model.	10.3389/fphys.2025.1512835
SympCoughNet: symptom assisted audio-based COVID-19 detection.	10.3389/fdgth.2025.1551298
A Deep Learning-Based Detection and Segmentation System for Multimodal Ultrasound Images in the Evaluation of Superficial Lymph Node Metastases.	10.3390/jcm14061828
Novel Preprocessing-Based Sequence for Comparative MR Cervical Lymph Node Segmentation.	10.3390/jcm14061802
Automated segmentation of brain metastases in T1-weighted contrast-enhanced MR images pre and post stereotactic radiosurgery.	10.1186/s12880-025-01643-y
The lifelong nonlinear development of spatial variability of brain signals.	10.1038/s42003-025-07939-7
Enhancing registration accuracy and eminence of multispectral transmission breast images by fusing multi-wavelength gen using vision transformer and LSTM.	10.1038/s41598-024-82965-9
Knowledge Graph-Based Few-Shot Learning for Label of Medical Imaging Reports.	10.1016/j.acra.2025.02.045
Endovascular Aneurysm Repair with Zenith Alpha Abdominal Stent-Graft in Hostile and Nonhostile Aortic Neck Anatomies.	10.1016/j.avsg.2025.03.011
AVP-AP: Self-Supervised Automatic View Positioning in 3D Cardiac CT via Atlas Prompting.	10.1109/TMI.2025.3554785
Generating 3D pseudo-healthy knee MR images to support trochleoplasty planning.	10.1007/s11548-025-03343-y
Using interpretable rule-learning artificial intelligence to optimally differentiate adrenal pheochromocytomas from adenomas with CT radiomics.	10.1007/s00261-025-04893-0
Diagnosis of Lung Cancer Using Endobronchial Ultrasonography Image Based on Multi-Scale Image and Multi-Feature Fusion Framework.	10.3390/tomography11030024
Recovering Image Quality in Low-Dose Pediatric Renal Scintigraphy Using Deep Learning.	10.3390/jimaging11030088
GM-CBAM-ResNet: A Lightweight Deep Learning Network for Diagnosis of COVID-19.	10.3390/jimaging11030076
Machine Learning-Driven Radiomics Analysis for Distinguishing Mucinous and Non-Mucinous Pancreatic Cystic Lesions: A Multicentric Study.	10.3390/jimaging11030068
Evaluating Performance of a Deep Learning Multilabel Segmentation Model to Quantify Acute and Chronic Brain Lesions at MRI after Stroke and Predict Prognosis.	10.1148/ryai.240072
Artificial Intelligence Predicts Fitzpatrick Skin Type, Pigmentation, Redness, and Wrinkle Severity From Color Photographs of the Face.	10.1111/jocd.70050
Radiomic-based approaches in the multi-metastatic setting: a quantitative review.	10.1186/s12885-025-13850-5
Mpox-XDE: an ensemble model utilizing deep CNN and explainable AI for monkeypox detection and classification.	10.1186/s12879-025-10811-y
Temporal-multimodal consistency alignment for Alzheimer's cognitive assessment prediction.	10.1002/mp.17767
Systematic review of genotype-phenotype associations in <i>CRX</i>-associated retinal dystrophies.	10.1136/bmjophth-2024-002030
Expert guidance and partially-labeled data collaboration for multi-organ segmentation.	10.1016/j.neunet.2025.107396
Revisiting medical image retrieval via knowledge consolidation.	10.1016/j.media.2025.103553
Establishment and validation of a critical care echocardiography-based predictive model for sepsis-induced cardiomyopathy: A prospective cohort study.	10.1016/j.jcrc.2025.155066
Development and validation of explainable machine learning models for female hip osteoporosis using electronic health records.	10.1016/j.ijmedinf.2025.105889
A Riemannian framework for incorporating white matter bundle prior in orientation distribution function based tractography algorithms.	10.1371/journal.pone.0304449
Navigating the unstructured by evaluating alphafold's efficacy in predicting missing residues and structural disorder in proteins.	10.1371/journal.pone.0313812
Improving differentiation of hemorrhagic brain metastases from non-neoplastic hematomas using radiomics and clinical feature fusion.	10.1007/s00234-025-03590-5
Normative modeling of brain morphometry in self-limited epilepsy with centrotemporal spikes.	10.1093/cercor/bhaf064
LI-RADS for Diagnosing Hepatocellular Carcinoma in Patients with Noncirrhotic Chronic Hepatitis C.	10.1148/radiol.241856
Dimensionality Reduction in Lingual Articulation of Vowels: Evidence From Lax Vowels in Northern Anglo-English.	10.1177/00238309251320581
Dual-threshold sample selection with latent tendency difference for label-noise-robust pneumoconiosis staging.	10.1177/08953996251319652
Aetiology of Acute Respiratory Insufficiency in Patients With Ischaemic Stroke Studied by Chest CT Scan.	10.1111/ene.70125
Prediction of bone metastasis of prostate cancer based on intratumoral and peritumoral radiomics of MRI T2WI combined with ADC images.	10.3389/fonc.2025.1555315
External validation of an algorithm to detect vertebral level mislabeling and autocontouring errors.	10.1016/j.phro.2025.100738
Interactive effects of <i>APOE</i> ɛ4 status and vascular burden on white matter microstructural integrity in aging with and without neurocognitive decline.	10.1177/13872877251320660
Microscope-Assisted Hypertensive Retinopathy Diagnosis Using Deep Learning Models.	10.1002/jemt.24847
Two-stage augmentation for detecting malignancy of BI-RADS 3 lesions in early breast cancer.	10.1186/s12885-025-13960-0
Intelligent detection and grading diagnosis of fresh rib fractures based on deep learning.	10.1186/s12880-025-01641-0
Single-cell light-sheet fluorescence 3D images of tumour-stroma spheroid multicultures.	10.1038/s41597-025-04832-0
Federated Learning Framework for Brain Tumor Detection Using MRI Images in Non-IID Data Distributions.	10.1007/s10278-025-01484-9
Automatic mandibular third molar and mandibular canal relationship determination based on deep learning models for preoperative risk reduction.	10.1007/s00784-025-06285-6
Brain Age Gap Associations with Body Composition and Metabolic Indices in an Asian Cohort: An MRI-Based Study.	10.1016/j.archger.2025.105830
Development and validation of pan-cancer lesion segmentation AI-model for whole-body 18F-FDG PET/CT in diverse clinical cohorts.	10.1016/j.compbiomed.2025.110052
FBCPM: A Filter Bank Connectome-Based Predictive Modeling Framework for EEG Signals.	10.1109/JBHI.2025.3551385
DASNet: A Convolutional Neural Network with SE Attention Mechanism for ccRCC Tumor Grading.	10.1007/s12539-025-00693-8
Development and Evaluation of a Deep Learning Algorithm to Differentiate Between Membranes Attached to the Optic Disc on Ultrasonography.	10.2147/OPTH.S501316
Artificial Intelligence and Early Detection of Breast, Lung, and Colon Cancer: A Narrative Review.	10.7759/cureus.79199
DLAAD-deep learning algorithms assisted diagnosis of chest disease using radiographic medical images.	10.3389/fmed.2024.1511389
Investigation of a deep learning-based reconstruction approach utilizing dual-view projection for myocardial perfusion SPECT imaging.	10.62347/MLFB9278
BrainNeXt: novel lightweight CNN model for the automated detection of brain disorders using MRI images.	10.1007/s11571-025-10235-z
Gross tumor volume confidence maps prediction for soft tissue sarcomas from multi-modality medical images using a diffusion model.	10.1016/j.phro.2025.100734
Predicting Long-Term Survival after Endovascular Aneurysm Repair Using Machine Learning-Based Decision Tree Analysis.	10.1177/15385744251329673
Abnormal Functional Connectivity of the Primary Sensory Network in Autism Spectrum Disorder: Sex Differences, Early Overdevelopment, and Clinical Significance.	10.1002/brb3.70363
A paired multi-scale attention network for liver tumor segmentation in 99mTc-MAA SPECT/CT imaging.	10.1038/s41598-025-94195-8
Brain tumor segmentation with deep learning: Current approaches and future perspectives.	10.1016/j.jneumeth.2025.110424
Multi-modal MRI synthesis with conditional latent diffusion models for data augmentation in tumor segmentation.	10.1016/j.compmedimag.2025.102532
Subtyping breast lesions via collective intelligence based long-tailed recognition in ultrasound.	10.1016/j.media.2025.103548
Graph-based prototype inverse-projection for identifying cortical sulcal pattern abnormalities in congenital heart disease.	10.1016/j.media.2025.103538
A lightweight PCT-Net for segmenting neural fibers in low-quality CCM images.	10.1016/j.compbiomed.2025.110051
Liver-Quant: Feature-based image analysis toolkit for automatic quantification of metabolic dysfunction-associated steatotic liver disease.	10.1016/j.compbiomed.2025.110049
Brain tumor segmentation using multi-scale attention U-Net with EfficientNetB4 encoder for enhanced MRI analysis.	10.1038/s41598-025-94267-9
Geometric and Dosimetric Evaluation of a RayStation Deep Learning Model for Auto-Segmentation of Organs at Risk in a Real-World Head and Neck Cancer Dataset.	10.1016/j.clon.2025.103796
SP-XTIN: A single projection grating-based X-ray tri-contrast imaging network.	10.1016/j.cmpb.2025.108718
A potential diagnostic biomarker for schizophrenia based on local functional connectivity using dynamic regional phase synchrony.	10.1016/j.schres.2025.03.013
Pan-cancer analysis shapes the understanding of cancer biology and medicine.	10.1002/cac2.70008
Early prediction of progression-free survival of patients with locally advanced nasopharyngeal carcinoma using multi-parametric MRI radiomics.	10.1186/s12885-025-13899-2
Classification method based on surf and sift features for alzheimer diagnosis using diffusion tensor magnetic resonance imaging.	10.1038/s41598-025-92759-2
Improving brain difference identification in autism spectrum disorder through enhanced head motion correction in ICA-AROMA.	10.1038/s42003-025-07928-w
X-ray Coronary Angiogram images and SYNTAX score to develop Machine-Learning algorithms for CHD Diagnosis.	10.1038/s41597-025-04727-0
An attention enhanced dilated bottleneck network for kidney disease classification.	10.1038/s41598-025-90519-w
Parsimonious EBM: Generalising the event-based model of disease progression for simultaneous events.	10.1016/j.neuroimage.2025.121162
PET and CT based DenseNet outperforms advanced deep learning models for outcome prediction of oropharyngeal cancer.	10.1016/j.radonc.2025.110852
Self-knowledge distillation-empowered directional connectivity transformer for microbial keratitis biomarkers segmentation on slit-lamp photography.	10.1016/j.media.2025.103533
MGAug: Multimodal Geometric Augmentation in Latent Spaces of Image Deformations.	10.1016/j.media.2025.103540
LUNETR: Language-Infused UNETR for precise pancreatic tumor segmentation in 3D medical image.	10.1016/j.neunet.2025.107414
A novel high-precision bilevel optimization method for 3D pulmonary nodule classification.	10.1016/j.ejmp.2025.104954
Optimizing deep learning models for glaucoma screening with vision transformers for resource efficiency and the pie augmentation method.	10.1371/journal.pone.0314111
A Deep-Learning Empowered, Real-Time Processing Platform of fNIRS/DOT for Brain Computer Interfaces and Neurofeedback.	10.1109/TNSRE.2025.3553794
Fourier Diffusion Models: A Method to Control MTF and NPS in Score-Based Stochastic Image Generation.	10.1109/TMI.2025.3553805
Deep learning-assisted detection of intracranial hemorrhage: validation and impact on reader performance.	10.1007/s00234-025-03560-x
Evaluating the effects of high-throughput structural neuroimaging predictors on whole-brain functional connectome outcomes via network-based matrix-on-vector regression.	10.1093/biomtc/ujaf027
Machine Learning Models Based on Stretched-Exponential Diffusion Weighted Imaging to Predict TROP2 Expression in Nude Mouse Breast Cancer Models.	10.24976/Discov.Med.202537194.41
A New Multiple Imputation Method for High-Dimensional Neuroimaging Data.	10.1002/hbm.70161
DCE-MRI-based machine learning model for predicting axillary lymph node metastasis in breast cancer.	10.21037/gs-2024-495
Investigation of Cranial Bone Changes Indicative of Increased Intracranial Pressure in Diverse Phenotypes of Craniosynostosis.	10.1097/GOX.0000000000006618
Integrating multidimensional data analytics for precision diagnosis of chronic low back pain.	10.1038/s41598-025-93106-1
An fMRI dataset for appetite neural correlates in people living with Motor Neuron Disease.	10.1038/s41597-025-04828-w
Intestinal fibrosis assessment in Crohn's disease patient using unenhanced spectral CT combined with 3D-printing technique.	10.1186/s13244-025-01914-w
Dysregulated brain dynamics in the visualmotor network in type 2 diabetes patients and their relationship with cognitive impairment.	10.1016/j.brainresbull.2025.111313
The impact of training image quality with a novel protocol on artificial intelligence-based LGE-MRI image segmentation for potential atrial fibrillation management.	10.1016/j.cmpb.2025.108722
Liver lesion segmentation in ultrasound: A benchmark and a baseline network.	10.1016/j.compmedimag.2025.102523
Optimized ensemble model for accurate prediction of cardiac vascular calcification in diabetic patients.	10.1007/s00592-025-02485-4
3D lymphoma segmentation on PET/CT images via multi-scale information fusion with cross-attention.	10.1002/mp.17763
Evaluating the robustness of deep learning models trained to diagnose idiopathic pulmonary fibrosis using a retrospective study.	10.1002/mp.17752
Small intestinal bleeding prediction by spectral reconstruction through band selection.	10.1117/1.JBO.30.3.036004
Case report: Free autologous costal cartilage transplantation for osteochondral lesions of the talus: three cases with 2-5 years follow-up.	10.3389/fbioe.2025.1556910
FastSurfer-LIT: Lesion inpainting tool for whole-brain MRI segmentation with tumors, cavities, and abnormalities.	10.1162/imag_a_00446
Ultrasound genomics related mitochondrial gene signature for prognosis and neoadjuvant chemotherapy resistance in triple negative breast cancer.	10.32604/or.2024.054642
An enhanced visual state space model for myocardial pathology segmentation in multi-sequence cardiac MRI.	10.1002/mp.17761
Deep-learning based multibeat echocardiographic cardiac phase detection.	10.1002/mp.17733
Artificial intelligence to enhance the diagnosis of ocular surface squamous neoplasia.	10.1038/s41598-025-94876-4
Toward real-time margin assessment in breast-conserving surgery with hyperspectral imaging.	10.1038/s41598-025-94526-9
Machine learning reveals distinct neuroanatomical signatures of cardiovascular and metabolic diseases in cognitively unimpaired individuals.	10.1038/s41467-025-57867-7
A large-scale multicenter breast cancer DCE-MRI benchmark dataset with expert segmentations.	10.1038/s41597-025-04707-4
High-Resolution Magnetic Resonance Imaging Radiomics for Identifying High-Risk Intracranial Plaques.	10.1007/s12975-025-01345-1
Automated Detection of Hydrocephalus in Pediatric Head Computed Tomography Using VGG 16 CNN Deep Learning Architecture and Based Automated Segmentation Workflow for Ventricular Volume Estimation.	10.1007/s10278-025-01482-x
CQENet: A segmentation model for nasopharyngeal carcinoma based on confidence quantitative evaluation.	10.1016/j.compmedimag.2025.102525
Optimization of primary screw stability in Trabecular bone using neural network-based models.	10.1016/j.cmpb.2025.108720
Deep learning by Vision Transformer to classify bacterial and fungal keratitis using different types of anterior segment images.	10.1016/j.compbiomed.2025.109976
Multiple kidney stones prediction with efficient RT-DETR model.	10.1016/j.compbiomed.2025.110023
Asymmetric Convolution-based GAN Framework for Low-Dose CT Image Denoising.	10.1016/j.compbiomed.2025.109965
CACTUS: An open dataset and framework for automated Cardiac Assessment and Classification of Ultrasound images using deep transfer learning.	10.1016/j.compbiomed.2025.110003
Ensemble-based multiclass lung cancer classification using hybrid CNN-SVD feature extraction and selection method.	10.1371/journal.pone.0318219
Semantic segmentation for individual thigh skeletal muscles of athletes on magnetic resonance images.	10.1007/s12194-025-00901-6
Evaluation of an artificial intelligence-based model in diagnosing periodontal radiographic bone loss.	10.1007/s00784-025-06283-8
Erratum for: CMRxRecon2024: A Multimodality, Multiview k-Space Dataset Boosting Universal Machine Learning for Accelerated Cardiac MRI.	10.1148/ryai.259001
Development and Validation of a Sham-AI Model for Intracranial Aneurysm Detection at CT Angiography.	10.1148/ryai.240140
A Novel Artificial Intelligence Approach to Kennedy Classification for Partially Edentulous Patients Using Panoramic Radiographs.	10.1922/EJPRD_2801Hassan09
Diabetic retinopathy detection via deep learning based dual features integrated classification model.	10.1177/09287329241292939
Magnetic resonance image generation using enhanced TransUNet in temporomandibular disorder patients.	10.1093/dmfr/twaf017
Radiation hematologic toxicity prediction in rectal cancer: a comparative radiomics-based study on CT image and dose map.	10.3389/fonc.2025.1516855
A novel rotation and scale-invariant deep learning framework leveraging conical transformers for precise differentiation between meningioma and solitary fibrous tumor.	10.1016/j.jpi.2025.100422
Dual branch segment anything model-transformer fusion network for accurate breast ultrasound image segmentation.	10.1002/mp.17751
Segmented MR Images by RG-FCM subjected to Non-Uniform Compression comprising Cascade of different Encoders.	10.2174/0115734056356911250220124124
Fetal Diagnostics using Vision Transformer for Enhanced Health and Severity Prediction in Ultrasound Imaging.	10.2174/0115734056360199250227053012
YOLOv8 Algorithm-aided Detection of Rib Fracture on Multiplane Reconstruction Images.	10.2174/0115734056337623250212052347
Towards prediction of pseudo-normal SPECT image data using variational autoencoder.	10.5603/nmr.101316
A semi-supervised convolutional neural network for diagnosis of pancreatic ductal adenocarcinoma based on EUS-FNA cytological images.	10.1186/s12885-025-13910-w
Predicting renal function using fundus photography: role of confounders.	10.3904/kjim.2024.076
Histogram matching-enhanced adversarial learning for unsupervised domain adaptation in medical image segmentation.	10.1002/mp.17757
[Imaging anatomy study on utilizing uncinate process "inflection point" as a landmark for anterior cervical spine decompression surgery].	10.7507/1002-1892.202412052
Automated classification of panoramic radiographs with inflammatory periapical lesions using a CNN-LSTM architecture.	10.1016/j.jdent.2025.105688
Longitudinal trajectories of muscle impairments in growing boys with Duchenne muscular dystrophy.	10.1371/journal.pone.0307007
Population-Driven Synthesis of Personalized Cranial Development From Cross-Sectional Pediatric CT Images.	10.1109/TBME.2025.3550842
Survival prediction with radiomics for patients with IDH mutated lower-grade glioma.	10.1007/s11060-025-05006-z
Oculomics approaches using retinal imaging to predict mental health disorders: a systematic review and meta-analysis.	10.1007/s10792-025-03500-x
Applications of artificial intelligence in ultrasound imaging for carpal-tunnel syndrome diagnosis: a scoping review.	10.1007/s00264-025-06497-1
Cascade-E-Yolov5s network for recognizing the ulcerative lesion subtypes in small intestinal.	10.1063/5.0235668
Volume-based complete automation for ultrasound fetal biometry: A pilot approach to assess feasibility, reliability, and perspectives.	10.1002/ijgo.70041
Deep learning-based fully automated detection and segmentation of pelvic lymph nodes on diffusion-weighted images for prostate cancer: a multicenter study.	10.1186/s40644-025-00840-w
Radiomics and prognostic nutritional index for predicting postoperative survival in esophageal carcinoma.	10.1186/s40001-025-02358-0
LI-RADS-based hepatocellular carcinoma risk mapping using contrast-enhanced MRI and self-configuring deep learning.	10.1186/s40644-025-00844-6
A clinical data-driven machine learning approach for predicting the effectiveness of piperacillin-tazobactam in treating lower respiratory tract infections.	10.1186/s12890-025-03580-6
A Two stage deep learning network for automated femoral segmentation in bilateral lower limb CT scans.	10.1038/s41598-025-94180-1
COVID-19 health data prediction: a critical evaluation of CNN-based approaches.	10.1038/s41598-025-92464-0
Artificial intelligence for predicting interstitial fibrosis and tubular atrophy using diagnostic ultrasound imaging and biomarkers.	10.1136/bmjhci-2024-101192
Interpretable machine learning for thyroid cancer recurrence predicton: Leveraging XGBoost and SHAP analysis.	10.1016/j.ejrad.2025.112049
Accelerated EPR imaging using deep learning denoising.	10.1002/mrm.30473
Enhanced U-Net for Infant Brain MRI Segmentation: A (2+1)D Convolutional Approach.	10.3390/s25051531
Research on a Burn Severity Detection Method Based on Hyperspectral Imaging.	10.3390/s25051330
An IoT-Enabled mHealth Sensing Approach for Remote Detection of Keratoconus Using Smartphone Technology.	10.3390/s25051316
XRadNet: A Radiomics-Guided Breast Cancer Molecular Subtype Prediction Network With a Radiomics Explanation.	10.1109/JBHI.2025.3552072
Rad-EfficientNet: Improving Breast MRI Diagnosis Through Integration of Radiomics and Deep Learning.	10.1109/JBHI.2025.3551840
A Framework for Comparison and Interpretation of Machine Learning Classifiers to Predict Autism on the ABIDE Dataset.	10.1002/hbm.70190
Enhanced lung cancer subtype classification using attention-integrated DeepCNN and radiomic features from CT images: a focus on feature reproducibility.	10.1007/s12672-025-02115-z
Automatic bone age assessment: a Turkish population study.	10.4274/dir.2025.242999
Explainable deep learning algorithm for identifying cerebral venous sinus thrombosis-related hemorrhage (CVST-ICH) from spontaneous intracerebral hemorrhage using computed tomography.	10.1016/j.eclinm.2025.103128
AgeNet-SHAP: An explainable AI approach for optimally mapping multivariate regional brain age and clinical severity patterns in Alzheimer's disease.	10.1101/2025.02.28.25323097
Multimodal model for knee osteoarthritis KL grading from plain radiograph.	10.1177/08953996251314765
ECP-GAN: Generating Endometrial Cancer Pathology Images and Segmentation Labels via Two-Stage Generative Adversarial Networks.	10.1245/s10434-025-17157-4
Mobile Mammography Utilization and Breast Cancer Screening Adherence Among Medicare Fee-for-Service Beneficiaries.	10.1016/j.clbc.2024.11.012
S<sup>2</sup>Net: Self-adaptive weighted fusion and self-adaptive aligned network for multi-modal MRI segmentation.	10.1002/mp.17742
Decentralized learning for medical image classification with prototypical contrastive network.	10.1002/mp.17753
Fully automatic categorical analysis of striatal subregions in dopamine transporter SPECT using a convolutional neural network.	10.1007/s12149-025-02038-3
B(RAIN)<sup>2</sup>-BRAIN integrated Resource for Anatomy and Intracranial Neurophysiology.	10.1038/s41597-025-04784-5
Potential locations for non-invasive brain stimulation in treating ADHD: Results from a cross-dataset validation of functional connectivity analysis.	10.1038/s41398-025-03303-9
Publicly available imaging datasets for age-related macular degeneration: Evaluation according to the Findable, Accessible, Interoperable, Reusable (FAIR) principles.	10.1016/j.exer.2025.110342
A unified approach to medical image segmentation by leveraging mixed supervision and self and transfer learning (MIST).	10.1016/j.compmedimag.2025.102517
